Date,Workout,Result,Prescribed,Pukie,Work performed,Work time,Formatted Result,Notes,Description
2016-01-18,"Chipper: Double Unders, Squat Jumps To Targets, Push-ups, and 4 more",394000,true,false,25629,394000,6 mins 34 secs,"","50 Double Unders
30 Squat Jumps To Targets
20 Push-ups
6 Bear Crawls, 30 ft
20 Push-ups
30 Squat Jumps To Targets
50 Double Unders"
2016-01-13,Strict Press : 1 Rep Max,63.5029318,true,false,278,,140.0 lbs | 140 lbs,"","Sets
1 Strict Press | 140 lbs"
2016-01-13,"FT: Thrusters, Kettlebell Swings, 800 m, and 2 more",558000,true,false,63621,558000,9 mins 18 secs,"","20 Thrusters, 95 lbs
20 Kettlebell Swings, 53 lbs
Run, 800 m
20 Kettlebell Swings, 53 lbs
20 Thrusters, 95 lbs"
2016-01-11,Front Squat : 1 Rep Max,122.4699399,true,false,759,,270.0 lbs | 270 lbs,"","Sets
1 Front Squat | 270 lbs"
2016-01-09,"AMRAP 9 mins: Shoulder-to-Overheads, Front Squats, and Pull-ups",2.667,true,false,33811,540000,2 rounds + 5 Shoulder-to-Overheads + 10 Front Squats | 85 reps,"","9:00 AMRAP:
5 Shoulder-to-Overheads, 135 lbs
10 Front Squats, 135 lbs
20 Pull-ups"
2016-01-09,"FT: Double Unders, Med Ball Sit Ups, Burpees, and 9 more",445000,true,false,26676,445000,7 mins 25 secs,"","40 Double Unders
40 Medicine Ball Sit-ups, 20 lbs
6 Burpees
30 Double Unders
30 Medicine Ball Sit-ups, 20 lbs
6 Burpees
20 Double Unders
20 Medicine Ball Sit-ups, 20 lbs
6 Burpees
10 Double Unders
10 Medicine Ball Sit-ups, 20 lbs
6 Burpees"
2016-01-06,"3 RFT: Clean & Jerks, Weighted Sit-ups, and 400 m",722000,true,false,65330,722000,12 mins 2 secs,"","3 rounds of:
8 Clean & Jerks, 135 lbs
16 Weighted Sit-ups, 53.5 lbs
Run, 400 m"
2016-01-06,Two Hand Dumbbell Bent Over Row 8-8-8-8,598.7419284,true,false,0,,"1320 lbs | 37.5 lbs, 42.5 lbs, 42.5 lbs, and 42.5 lbs","","Sets
8 Two Hand Dumbbell Bent Over Rows | 37.5 lbs
8 Two Hand Dumbbell Bent Over Rows | 42.5 lbs
8 Two Hand Dumbbell Bent Over Rows | 42.5 lbs
8 Two Hand Dumbbell Bent Over Rows | 42.5 lbs"
2016-01-06,Dumbbell Press (Strict) 8-8-8-8,598.7419284,true,false,0,,"1320 lbs | 37.5 lbs, 42.5 lbs, 42.5 lbs, and 42.5 lbs","","Sets
8 Dumbbell Press (Strict)s | 37.5 lbs
8 Dumbbell Press (Strict)s | 42.5 lbs
8 Dumbbell Press (Strict)s | 42.5 lbs
8 Dumbbell Press (Strict)s | 42.5 lbs"
2016-01-05,CrossFit Games Open 15.1A,97.52235955,true,false,1746,,215 lbs | 215 lbs,"","Sets
1 Clean & Jerk | 215 lbs"
2016-01-05,CrossFit Games Open 15.1,3.867,true,false,39321,540000,3 rounds + 15 Toes-to-bars + 10 Deadlifts + 3 Snatches | 118 reps,"","9:00 AMRAP:
15 Toes-to-bars
10 Deadlifts, 115 lbs
5 Snatches, 115 lbs"
2016-01-04,"""Death By"" - Front Squat : 170 lbs + 5 lbs / 30 secs",15.0,true,false,9608,450000,15,"","""Death By"" : 170 lbs + 5 lbs / 30 secs
1 Front Squat : 15 rounds (240 lbs)"
2016-01-04,"AMRAP 8 mins: Box Jump (24 In.)s, Push-up (hand release)s, and Sit-up (medicine ball)s",10.467,true,false,33516,480000,10 rounds + 3 Box Jump (24 In.)s + 2 Push-up (hand release)s | 155 reps,"","8:00 AMRAP:
3 Box Jump (24 In.)s
5 Push-up (hand release)s
7 Sit-up (medicine ball)s"
2016-01-02,"AMReps 15 mins: Wall Balls, Rests, Box Jump (24 In.)s, and 7 more",297,true,false,1984,900000,297 reps,"","AMReps in 15 mins:
Wall Ball, 20 lbs, 45 secs
Rest, 15 secs
Box Jump (24 In.), 45 secs
Rest, 15 secs
Sumo Deadlift High-pull, 95 lbs, 45 secs
Rest, 15 secs
Sit-up, 45 secs
Rest, 15 secs
Kettlebell Swing, 53 lbs, 45 secs
Rest, 15 secs"
